COMMON_RATIO,LEAST_HISTORY_LENGTH,Accuracy,Trace,,,AVG,STD,NORMAL,EXP,SUM,probability
1.5,4,96.04,748B,,748B,95.76166667,0.237690275,1.170991677,1.795881232,6.614901524,0.271490244
1.6,4,95.85,748B,,135B,93.77666667,0.218235347,0.371632089,1.204200721,6.640775567,0.182043635
1.7,4,95.56,748B,,53B,94.54166667,0.247662405,-0.848443071,0.65427892,6.638037919,0.09890985
1.5,5,95.96,748B,,,,,0.834419219,1.517720608,,0.229439638
1.6,5,95.74,748B,,,,,-0.091155041,0.955445533,,0.144438361
1.7,5,95.42,748B,,,,,-1.437444873,0.48737451,,0.073678271
1.5,4,94.07,135B,,,,,1.344114679,1.958261989,,0.294884531
1.6,4,93.84,135B,,,,,0.290206578,1.156158983,,0.174099993
1.7,4,93.6,135B,,,,,-0.809523613,0.667135699,,0.10046051
1.5,5,93.94,135B,,,,,0.748427492,1.453847871,,0.218927421
1.6,5,93.73,135B,,,,,-0.213836426,0.898599164,,0.135315394
1.7,5,93.48,135B,,,,,-1.359388709,0.506771861,,0.07631215
1.5,4,94.87,53B,,,,,1.325729409,1.940342889,,0.29230669
1.6,4,94.62,53B,,,,,0.316290773,1.171336479,,0.176458239
1.7,4,94.35,53B,,,,,-0.773902955,0.679124047,,0.102307949
1.5,5,94.73,53B,,,,,0.760443773,1.462609087,,0.220337561
1.6,5,94.48,53B,,,,,-0.248994864,0.882940529,,0.133012276
1.7,5,94.2,53B,,,,,-1.379566136,0.501684889,,0.075577286
