NUMBER_OF_TABLES,Accuracy,Trace,,,AVG,STD,NORMAL,EXP,SUM,probability
8,96.19,748B,,748B,96.0375,0.209821353,0.726808774,1.438217338,4.340709983,0.331332281
10,96.18,748B,,135B,94.1225,0.300818328,0.679149182,1.40435004,4.354227808,0.323530032
12,96.04,748B,,53B,94.955,0.370450177,0.011914898,1.00597523,4.366162884,0.231753615
14,95.74,748B,,,,,-1.417872854,0.492167375,,0.113384072
8,94.39,135B,,,,,0.88924103,1.559898126,,0.358249084
10,94.31,135B,,,,,0.623299787,1.365676477,,0.313643782
12,94.07,135B,,,,,-0.17452394,0.916436985,,0.210470611
14,93.72,135B,,,,,-1.338016876,0.51221622,,0.117636523
8,95.34,53B,,,,,1.03927606,1.681418916,,0.385102196
10,95.13,53B,,,,,0.472398209,1.266426436,,0.290054785
12,94.87,53B,,,,,-0.229450559,0.891611054,,0.204209297
14,94.48,53B,,,,,-1.282223711,0.526706477,,0.120633721
